Date,NM confirmed,NV confirmed,NM deaths,NV deaths
2020-08-04,21340,52179,658,862
2020-08-05,21804,52828,670,890
2020-08-06,21773,53557,669,899
2020-08-07,21965,54532,675,919
2020-08-08,22115,55419,681,949
2020-08-09,22315,56230,685,957
2020-08-10,22444,56972,690,963
2020-08-11,22643,57520,693,980
2020-08-12,22816,58047,695,995
2020-08-13,22987,58650,697,1030
2020-08-14,23160,59749,703,1045
2020-08-15,23302,60608,711,1069
2020-08-16,23408,61305,714,1072
2020-08-17,23500,61967,718,1077
2020-08-18,23579,62622,723,1072
2020-08-19,23749,63005,729,1072
2020-08-20,23951,63518,734,1171
2020-08-21,24095,64925,739,1195
2020-08-22,24302,65069,743,1197
2020-08-23,24396,65601,745,1197
2020-08-24,24469,66010,747,1200
2020-08-25,24535,66413,750,1230
2020-08-26,24732,66666,755,1250
2020-08-27,24920,67194,764,1250
2020-08-28,25042,67852,767,1287
2020-08-29,25178,68461,769,1302
2020-08-30,25283,68908,770,1302
2020-08-31,25352,69196,779,1302
2020-09-01,25460,69228,787,1305
2020-09-02,25612,69872,790,1336
2020-09-03,25812,69846,791,1336
2020-09-04,25902,70674,794,1375
2020-09-05,26048,71061,800,1388
2020-09-06,26107,71567,803,1389
2020-09-07,26144,71915,807,1393
2020-09-08,26181,72104,807,1393
2020-09-09,26268,72258,813,1412
2020-09-10,26429,72485,816,1429
2020-09-11,26563,72739,818,1439
2020-09-12,26661,73144,821,1449
2020-09-13,26761,73537,823,1449
2020-09-14,26842,73732,823,1456
2020-09-15,26923,74038,830,1482
2020-09-16,27041,74233,832,1494
2020-09-17,27199,74576,836,1506
2020-09-18,27350,75068,841,1524
2020-09-19,27512,75390,847,1528
2020-09-20,27579,75774,849,1531
2020-09-21,27683,76036,851,1531
2020-09-22,27790,76102,854,1531
2020-09-23,27987,76266,857,1546
2020-09-24,28224,77155,859,1564
2020-09-25,28487,77711,865,1573
2020-09-26,28692,78313,870,1582
2020-09-27,28844,78683,870,1585
2020-09-28,28985,79145,873,1585
2020-09-29,29157,79546,875,1592
2020-09-30,29435,79980,877,1600
2020-10-01,29661,80348,882,1603
2020-10-02,30000,81116,887,1609
2020-10-03,30296,81638,890,1620
2020-10-04,30477,82027,892,1623
2020-10-05,30632,82363,894,1623
2020-10-06,30947,82363,894,1623
2020-10-07,31372,83269,896,1636
2020-10-08,31756,83735,899,1649
2020-10-09,32241,84502,902,1657
2020-10-10,32722,85305,907,1659
